,Actual Cash Value,Body Style,Closing Date,Color,Cylinders,Drive,Engine,Fuel,Keys,Location,Odometer,Offer Ends in,Primary Damage,Repair Cost,Runs & Drive:,Sale Date,Sale Status,Secondary Damage,Special Note,Title State/Type,VIN,bid
Salvage-2003-Dodge-DURANGO+SP-for-Sale,"$ 2,413 USD",4dr sport,Virtual Sale date not set,Blue,8,FOUR BY FOUR,4.7L 8,Gasoline,YES,OH - CLEVELAND WEST,177394 ACTUAL,,Front end,"$ 12,405 USD",Unknown,Future Sale,On minimum bid,Side,,OH CLEAN TITLE,1D4HS38N63F526149  Get instaVIN history report,
Salvage-2009-Chevrolet-SUBURBAN+K-for-Sale,"$ 13,092 USD",4dr sport,Virtual Sale date not set,White,8,FOUR BY FOUR,5.3L 8,Flexible fuel,YES,NC - RALEIGH,215687 EXEMPT,,Front end,"$ 7,502 USD",Run & drive verified,Future Sale,Pure sale,,,NC SALVAGE CERTIFICATE,1GNFK26349R141333  Get instaVIN history report,
Salvage-2017-Chevrolet-CRUZE+LT-for-Sale,"$ 14,312 USD",Sedan 4 door,Virtual Sale date not set,Silver,4,FRONT-WHEEL DRIVE,1.4L 4,Gasoline,YES,IN - INDIANAPOLIS,0 NOT ACTUAL,,Front end,,Unknown,Future Sale,Pure sale,Side,,IN SALVAGE TITLE,1G1BE5SM4H7181610  Get instaVIN history report,
Salvage-2015-Toyota-COROLLA+L-for-Sale,"$ 8,582 USD",Sedan 4 door,Virtual Sale date not set,White,4,FRONT-WHEEL DRIVE,1.8L 4,Gasoline,YES,IN - INDIANAPOLIS,0 NOT ACTUAL,,Front end,"$ 11,071 USD",Unknown,Future Sale,Pure sale,,,IN SALVAGE TITLE,2T1BURHE2FC272663  Get instaVIN history report,
Salvage-2010-Nissan-MURANO+S-for-Sale,"$ 8,125 USD",4dr sport,09/13/2019 at 09.00 AM EDT,White,6,ALL WHEEL DRIVE,3.5L 6,Gasoline,NO,MA - NORTH BOSTON,0 NOT ACTUAL,,Front end,"$ 9,398 USD",Unknown,09/13/2019 at 10.00 AM EDT,On minimum bid,Undercarriage,,MA SALVAGE TITLE,JN8AZ1MW7AW128902  Get instaVIN history report,
Salvage-2016-Subaru-CROSSTREK-for-Sale,"$ 22,274 USD",4dr sport,Virtual Sale date not set,Silver,4,ALL WHEEL DRIVE,2.0L 4,Gasoline,YES,CO - DENVER,30680 ACTUAL,,Front end,"$ 16,400 USD",Run & drive verified,Future Sale,Pure sale,,,CO CLEAN TITLE,JF2GPANC8G8241126  Get instaVIN history report,
Salvage-2006-Toyota-CAMRY+LE-for-Sale,"$ 4,541 USD",Sedan 4 door,Virtual Sale date not set,Silver,4,FRONT-WHEEL DRIVE,2.4L 4,Gasoline,YES,SC - COLUMBIA,154127 ACTUAL,,Front end,"$ 4,447 USD",Run & drive verified,Future Sale,Pure sale,,,SC CLEAN TITLE,4T1BE32K26U744450  Get instaVIN history report,
Salvage-2007-Nissan-MURANO+SL-for-Sale,"$ 5,401 USD",4dr sport,Virtual Sale date not set,Blue,6,ALL WHEEL DRIVE,3.5L 6,Gasoline,NO,IN - INDIANAPOLIS,0 EXEMPT,,Front end,,Unknown,Future Sale,Pure sale,Side,,IN CLEAN TITLE,JN8AZ08W17W633704  Get instaVIN history report,
Salvage-2016-Honda-CIVIC+EX-for-Sale,"$ 16,942 USD",Sedan 4 door,09/12/2019 at 11.30 AM PDT,Black,4,FRONT-WHEEL DRIVE,2.0L 4,Gasoline,NO,CA - SAN BERNARDINO,0 NOT ACTUAL,,Front end,"$ 18,500 USD",Unknown,09/12/2019 at 12.00 PM PDT,On minimum bid,Side,,CA NON-REPAIRABLE,19XFC2F88GE214777  Get instaVIN history report,
Salvage-2010-Chevrolet-MALIBU+LTZ-for-Sale,"$ 5,228 USD",Sedan 4 door,Virtual Sale date not set,Gray,4,FRONT-WHEEL DRIVE,2.4L 4,Gasoline,YES,IN - INDIANAPOLIS,142054 ACTUAL,,Front end,"$ 5,228 USD",Run & drive verified,Future Sale,Pure sale,,,IN SALVAGE TITLE,1G1ZE5EB8A4160386  Get instaVIN history report,
Salvage-2005-Jeep-GRAND+CHEROKEE-for-Sale,"$ 3,675 USD",4dr sport,09/10/2019 at 09.00 AM EDT,White,6,REAR-WHEEL DRIVE,3.7L 6,Gasoline,YES,FL - OCALA,177129 ACTUAL,,Front end,"$ 14,462 USD",Vehicle Starts,09/10/2019 at 10.00 AM EDT,On minimum bid,Side,,FL CERTIFICATE OF DESTRUCTION,1J4GS48K85C634100  Get instaVIN history report,
Salvage-2010-Dodge-CHARGER+SX-for-Sale,"$ 5,993 USD",Sedan 4 door,Virtual Sale date not set,Red,6,REAR-WHEEL DRIVE,3.5L 6,Gasoline,YES,MO - ST. LOUIS,172285 ACTUAL,,Front end,"$ 4,040 USD",Unknown,Future Sale,Pure sale,Mechanical,,MO SALVAGE CERTIFICATE,2B3CA3CV7AH171121  Get instaVIN history report,
Salvage-2014-Toyota-SIENNA+XLE-for-Sale,"$ 19,239 USD",Sports van,Virtual Sale date not set,Blue,6,FRONT-WHEEL DRIVE,3.5L 6,Gasoline,YES,IN - INDIANAPOLIS,80481 ACTUAL,,Top/roof,,Run & drive verified,Future Sale,Pure sale,,,IN SALVAGE TITLE,5TDYK3DC4ES511444  Get instaVIN history report,
Salvage-2007-Pontiac-GRAND+PRIX-for-Sale,"$ 2,585 USD",Sedan 4 door,Virtual Sale date not set,Black,6,FRONT-WHEEL DRIVE,3.8L 6,Gasoline,NO,NC - RALEIGH,206578 EXEMPT,,Front end,,Unknown,Future Sale,Pure sale,,,NC SALVAGE CERTIFICATE,2G2WP552671209145  Get instaVIN history report,
Salvage-2010-Volkswagen-ROUTAN+SE-for-Sale,"$ 6,246 USD",Sports van,Virtual Sale date not set,Black,6,FRONT-WHEEL DRIVE,3.8L 6,Gasoline,NO,MI - DETROIT,139114 ACTUAL,,Front end,"$ 5,678 USD",Unknown,Future Sale,Pure sale,,,MI CLEAN TITLE,2V4RW3D14AR209412  Get instaVIN history report,
Salvage-2013-Ford-C-MAX+SEL-for-Sale,"$ 10,012 USD",Hatchback,Virtual Sale date not set,Gray,4,FRONT-WHEEL DRIVE,2.0L 4,Hybrid,YES,NV - LAS VEGAS,63586 ACTUAL,,Rear end,"$ 8,348 USD",Run & drive verified,Future Sale,Pure sale,Front end,,NV SALVAGE TITLE,1FADP5BUXDL517570  Get instaVIN history report,
Salvage-2014-Mazda-3+TOURING-for-Sale,"$ 11,974 USD",Hatchback,Virtual Sale date not set,White,4,FRONT-WHEEL DRIVE,2.0L 4,Gasoline,YES,MN - MINNEAPOLIS,88789 ACTUAL,,Front end,"$ 11,704 USD",Run & drive verified,Future Sale,Pure sale,Side,,MN SALVAGE TITLE,JM1BM1L73E1207009  Get instaVIN history report,
Salvage-2010-Honda-ODYSSEY+EX-for-Sale,"$ 4,723 USD",Sports van,Virtual Sale date not set,Blue,6,FRONT-WHEEL DRIVE,3.5L 6,Gasoline,YES,IN - INDIANAPOLIS,289291 ACTUAL,,Front end,"$ 5,002 USD",Run & drive verified,Future Sale,Pure sale,,VEH LOCATED @ CICERO SUBLOT,IN SALVAGE TITLE,5FNRL3H48AB060862  Get instaVIN history report,
Salvage-2017-Nissan-ROGUE+S-for-Sale,"$ 16,042 USD",4dr sport,,White,4,ALL WHEEL DRIVE,2.5L 4,Gasoline,NO,RENTAL VEHICLE SALE,0 NOT ACTUAL,,Front end,"$ 18,463 USD",Unknown,Future Sale,On approval,,,MO SALVAGE CERTIFICATE,KNMAT2MV7HP511138  Get instaVIN history report,
Salvage-2015-Jeep-PATRIOT+LA-for-Sale,"$ 21,299 USD",4dr sport,Virtual Sale date not set,Gray,4,FOUR BY FOUR,2.4L 4,Gasoline,NO,NY - NEWBURGH,0 NOT ACTUAL,,All over,,Unknown,Future Sale,Pure sale,Biohazard/chemical,,NY PARTS ONLY,1C4NJRFB4FD312646  Get instaVIN history report,
Salvage-2017-Nissan-ROGUE+S-for-Sale,"$ 14,605 USD",4dr sport,,Red,4,ALL WHEEL DRIVE,2.5L 4,Gasoline,YES,RENTAL VEHICLE SALE,41858 ACTUAL,,Front end,"$ 18,919 USD",Run & drive verified,Future Sale,On approval,Rear end,,MO SALVAGE CERTIFICATE,JN8AT2MV0HW268119  Get instaVIN history report,
Salvage-2013-Honda-CIVIC+LX-for-Sale,"$ 13,980 CAD",Coupe,Virtual Sale date not set,Black,4,FRONT-WHEEL DRIVE,1.8L 4,Gasoline,NO,AB - CALGARY,0 NOT ACTUAL,,All over,"$ 11,950 CAD",Unknown,Future Sale,Pure sale,,,AB BILL OF SALE - SALVAGE,2HGFG3B55DH001941  Get instaVIN history report,
Salvage-2013-Lincoln-MKX-for-Sale,"$ 16,842 USD",4dr sport,Virtual Sale date not set,Brown,6,FRONT-WHEEL DRIVE,3.7L 6,Gasoline,YES,NC - RALEIGH,121318 ACTUAL,,Water/flood,,Unknown,Future Sale,Pure sale,,VEH LOC @ CONVERSE SUB LOT,NC WATER/FLOOD DAMAGE,2LMDJ6JK8DBL35531  Get instaVIN history report,
Salvage-2005-Lexus-RX+330-for-Sale,"$ 8,058 USD",4dr sport,Virtual Sale date not set,Blue,6,ALL WHEEL DRIVE,3.3L 6,Gasoline,YES,MI - DETROIT,145652 EXEMPT,,Front end,"$ 7,504 USD",Run & drive verified,Future Sale,Pure sale,,,MI CLEAN TITLE,JTJHA31U150091318  Get instaVIN history report,
Salvage-2018-Hyundai-ELANTRA+SE-for-Sale,"$ 14,870 USD",Sedan 4 door,,Gray,4,FRONT-WHEEL DRIVE,2.0L 4,Gasoline,YES,RENTAL VEHICLE SALE,24283 ACTUAL,,Front end,"$ 14,896 USD",Run & drive verified,Future Sale,Pure sale,,,MO SALVAGE CERTIFICATE,5NPD84LFXJH306077  Get instaVIN history report,
Salvage-2010-Hyundai-SONATA+GLS-for-Sale,"$ 2,738 USD",Sedan 4 door,Virtual Sale date not set,Gray,4,FRONT-WHEEL DRIVE,2.4L 4,Gasoline,YES,SC - COLUMBIA,196945 ACTUAL,,Front end,"$ 4,684 USD",Run & drive verified,Future Sale,Pure sale,,,SC SALVAGE TITLE,5NPET4AC9AH617592  Get instaVIN history report,
Salvage-2019-Hyundai-ELANTRA+SE-for-Sale,,Sedan 4 door,09/17/2019 at 09.00 AM EDT,Black,4,FRONT-WHEEL DRIVE,2.0L 4,Gasoline,YES,IN - INDIANAPOLIS,7053 ACTUAL,,Front end,,Unknown,09/17/2019 at 10.00 AM EDT,On minimum bid,,,IN SALVAGE TITLE,5NPD74LF2KH405335  Get instaVIN history report,
Salvage-2006-Honda-ACCORD+EX-for-Sale,"$ 2,084 USD",Sedan 4 door,Virtual Sale date not set,Red,4,FRONT-WHEEL DRIVE,2.4L 4,Gasoline,YES,NC - RALEIGH,0 EXEMPT,,Water/flood,"$ 1,921 USD",Unknown,Future Sale,On minimum bid,Biohazard/chemical,VEH LOC @ CONVERSE SUB LOT,SC FLOOD - SALVAGE,1HGCM56796A122668  Get instaVIN history report,
Salvage-2014-Honda-CIVIC+HYBRID-for-Sale,"$ 14,030 USD",Sedan 4 door,Virtual Sale date not set,Gray,4,FRONT-WHEEL DRIVE,1.5L 4,Hybrid,YES,CA - SACRAMENTO,64164 ACTUAL,,Rear end,"$ 9,446 USD",Vehicle Starts,Future Sale,Pure sale,,VEH LOC @ FRUITRIDGE SUBLOT,CA SALVAGE CERTIFICATE,19XFB4F30EE200534  Get instaVIN history report,
Salvage-2016-Chevrolet-MALIBU+LT-for-Sale,"$ 11,082 USD",Sedan 4 door,Virtual Sale date not set,Charcoal,4,FRONT-WHEEL DRIVE,1.5L 4,Gasoline,YES,IN - INDIANAPOLIS,0 NOT ACTUAL,,Front end,,Unknown,Future Sale,Pure sale,,,IN SALVAGE TITLE,1G1ZE5ST0GF274053  Get instaVIN history report,
Salvage-2014-Nissan-PATHFINDER-for-Sale,,4dr sport,Virtual Sale date not set,Gray,6,FOUR BY FOUR,3.5L 6,Gasoline,NO,MA - NORTH BOSTON,0 NOT ACTUAL,,Rear end,,Unknown,Future Sale,On approval,Front end,,MA CLEAN TITLE,5N1AR2MM5EC666002  Get instaVIN history report,
Salvage-2007-Dodge-NITRO+SXT-for-Sale,"$ 6,505 USD",4dr sport,Virtual Sale date not set,Black,6,ALL WHEEL DRIVE,3.7L 6,Gasoline,YES,FL - JACKSONVILLE WEST,81134 EXEMPT,,Rear end,"$ 4,402 USD",Run & drive verified,Future Sale,Pure sale,,,FL SALVAGE TITLE/REBUILDABLE,1D8GU28K67W727513  Get instaVIN history report,
Salvage-2010-Honda-ACCORD+EXL-for-Sale,"$ 7,495 USD",Sedan 4 door,Virtual Sale date not set,Burgundy,4,FRONT-WHEEL DRIVE,2.4L 4,Gasoline,YES,MA - NORTH BOSTON,117922 ACTUAL,,Front end,"$ 5,899 USD",Run & drive verified,Future Sale,Pure sale,Minor dent/scratches,,MA SALVAGE TITLE,1HGCP2F86AA014922  Get instaVIN history report,
Salvage-2016-Mitsubishi-LANCER+ES-for-Sale,"$ 10,989 USD",Sedan 4 door,Virtual Sale date not set,Silver,4,FRONT-WHEEL DRIVE,2.0L 4,Gasoline,YES,CA - SACRAMENTO,48205 ACTUAL,,Front end,,Run & drive verified,Future Sale,Pure sale,Rear end,,CA SALVAGE CERTIFICATE,JA32U2FU9GU002625  Get instaVIN history report,
Salvage-2013-Nissan-ALTIMA+2.5-for-Sale,"$ 7,458 USD",Sedan 4 door,09/10/2019 at 09.00 AM EDT,Blue,4,FRONT-WHEEL DRIVE,2.5L 4,Gasoline,YES,NC - RALEIGH,119108 ACTUAL,,Hail,"$ 7,194 USD",Run & drive verified,09/10/2019 at 10.00 AM EDT,On minimum bid,,,NC SALVAGE CERTIFICATE,1N4AL3AP3DC101987  Get instaVIN history report,
Salvage-2008-Chevrolet-CORVETTE-for-Sale,"$ 21,300 USD",Coupe,Virtual Sale date not set,Black,8,REAR-WHEEL DRIVE,6.2L 8,Gasoline,NO,TN - NASHVILLE,0 EXEMPT,,All over,"$ 17,000 USD",Unknown,Future Sale,On minimum bid,,,TN NON-REPAIRABLE,1G1YY26W085106684  Get instaVIN history report,
Salvage-2003-Toyota-CAMRY-for-Sale,"$ 5,529 USD",Sedan 4 door,09/18/2019 at 11.30 AM CDT,White,4,FRONT-WHEEL DRIVE,2.4L 4,Gasoline,YES,AL - TANNER,61023 EXEMPT,,Side,"$ 3,144 USD",Run & drive verified,09/18/2019 at 12.00 PM CDT,On minimum bid,,,TN SALVAGE CERTIFICATE,4T1BE32KX3U171504  Get instaVIN history report,
Salvage-2015-Chevrolet-MALIBU+2LT-for-Sale,"$ 9,495 USD",Sedan 4 door,Virtual Sale date not set,Maroon,4,FRONT-WHEEL DRIVE,2.5L 4,Gasoline,YES,ME - LYMAN,78168 ACTUAL,,Front end,"$ 11,107 USD",Unknown,Future Sale,Pure sale,Minor dent/scratches,,ME SALVAGE TITLE,1G11D5SL1FF148623  Get instaVIN history report,
Salvage-2013-Nissan-SENTRA+S-for-Sale,"$ 11,285 USD",Sedan 4 door,Virtual Sale date not set,Black,4,FRONT-WHEEL DRIVE,1.8L 4,Gasoline,YES,SC - COLUMBIA,22943 ACTUAL,,Side,"$ 6,577 USD",Vehicle Starts,Future Sale,Pure sale,,,GA SALVAGE TITLE,3N1AB7AP4DL651517  Get instaVIN history report,
Salvage-2002-Ford-TAURUS+SES-for-Sale,"$ 4,700 USD",Sedan 4 door,Virtual Sale date not set,Beige,6,FRONT-WHEEL DRIVE,3.0L 6,Flexible fuel,YES,AL - MOBILE,110172 ACTUAL,,Rear end,"$ 4,700 USD",Unknown,Future Sale,Pure sale,Front end,,AL SALVAGE TITLE,1FAFP552X2G210263  Get instaVIN history report,
Salvage-2011-Honda-ACCORD+SE-for-Sale,"$ 6,945 USD",Sedan 4 door,Virtual Sale date not set,Gray,4,FRONT-WHEEL DRIVE,2.4L 4,Gasoline,YES,NC - CHINA GROVE,132829 ACTUAL,,Front end,,Run & drive verified,Future Sale,Pure sale,,,NC SALVAGE CERTIFICATE,1HGCP2F62BA010141  Get instaVIN history report,
Salvage-2010-Dodge-CHARGER-for-Sale,"$ 4,450 USD",Sedan 4 door,Virtual Sale date not set,Black,6,REAR-WHEEL DRIVE,3.5L 6,Gasoline,YES,IN - HAMMOND,146072 ACTUAL,,Front end,,Run & drive verified,Future Sale,Pure sale,Rear end,,IN SALVAGE TITLE,2B3CA2CV2AH301686  Get instaVIN history report,
Salvage-1998-Toyota-CAMRY+CE-for-Sale,,Sedan 4 door,Virtual Sale date not set,Gray,4,FRONT-WHEEL DRIVE,2.2L 4,Gasoline,YES,MN - MINNEAPOLIS NORTH,264683 EXEMPT,,Mechanical,,Unknown,Future Sale,On minimum bid,Front end,VEH LOC @ BUNKER SUBLOT,MN CLEAN TITLE,4T1BG22K6WU359638  Get instaVIN history report,
Salvage-2012-Chevrolet-CRUZE+ECO-for-Sale,"$ 6,717 USD",Sedan 4 door,Virtual Sale date not set,Silver,4,FRONT-WHEEL DRIVE,1.4L 4,Gasoline,YES,IN - INDIANAPOLIS,92239 ACTUAL,,Front end,,Vehicle Starts,Future Sale,Pure sale,Minor dent/scratches,,IN CLEAN TITLE,1G1PK5SC2C7365054  Get instaVIN history report,
Salvage-2007-Honda-ACCORD+LX-for-Sale,"$ 3,180 USD",Sedan 4 door,Virtual Sale date not set,Blue,4,FRONT-WHEEL DRIVE,2.4L 4,Gasoline,NO,GA - ATLANTA WEST,0 EXEMPT,,Rear end,,Unknown,Future Sale,Pure sale,Front end,,GA SALVAGE TITLE,1HGCM56437A144401  Get instaVIN history report,
Salvage-2007-Honda-CIVIC+HYBRID-for-Sale,"$ 5,692 USD",Sedan 4 door,09/11/2019 at 11.30 AM CDT,White,4,FRONT-WHEEL DRIVE,1.3L 4,Hybrid,YES,AL - TANNER,119128 EXEMPT,,Side,,Vehicle Starts,09/11/2019 at 12.00 PM CDT,On minimum bid,Front end,,AL SALVAGE TITLE,JHMFA36207S030064  Get instaVIN history report,
Salvage-2012-GMC-TERRAIN+SL-for-Sale,"$ 12,136 USD",4dr sport,Virtual Sale date not set,Black,4,ALL WHEEL DRIVE,2.4L 4,Flexible fuel,YES,MI - DETROIT,76980 ACTUAL,,Front end,"$ 8,610 USD",Run & drive verified,Future Sale,On minimum bid,,,MI CLEAN TITLE,2GKFLTEK1C6133153  Get instaVIN history report,
Salvage-2012-Chrysler-300-for-Sale,"$ 8,274 USD",Sedan 4 door,Virtual Sale date not set,Silver,6,REAR-WHEEL DRIVE,3.6L 6,Flexible fuel,NO,GA - ATLANTA WEST,0 NOT ACTUAL,,Stripped,,Unknown,Future Sale,Pure sale,All over,,GA SALVAGE TITLE,2C3CCAAG8CH186039  Get instaVIN history report,
Salvage-2012-BMW-X3+XDRIVE2-for-Sale,"$ 14,231 USD",4dr sport,Virtual Sale date not set,White,6,ALL WHEEL DRIVE,3.0L 6,Gasoline,YES,MI - DETROIT,67501 ACTUAL,,Side,"$ 13,156 USD",Unknown,Future Sale,Pure sale,,,MI CLEAN TITLE,5UXWX5C56CL724352  Get instaVIN history report,
Salvage-2016-Dodge-JOURNEY+CR-for-Sale,"$ 20,091 USD",4dr sport,09/10/2019 at 11.30 AM CDT,White,6,ALL WHEEL DRIVE,3.6L 6,Flexible fuel,YES,MN - MINNEAPOLIS NORTH,38620 ACTUAL,,Water/flood,"$ 20,091 USD",Run & drive verified,09/10/2019 at 12.00 PM CDT,On minimum bid,,,MN FLOOD SALVAGE,3C4PDDGG3GT120773  Get instaVIN history report,
Salvage-2014-Infiniti-QX60-for-Sale,"$ 19,504 USD",4dr sport,09/13/2019 at 09.00 AM EDT,Black,6,ALL WHEEL DRIVE,3.5L 6,Gasoline,YES,MA - NORTH BOSTON,0 NOT ACTUAL,,Front end,"$ 16,668 USD",Unknown,09/13/2019 at 10.00 AM EDT,On minimum bid,Minor dent/scratches,,MA SALVAGE TITLE,5N1AL0MM6EC543427  Get instaVIN history report,
Salvage-2009-Toyota-COROLLA+BA-for-Sale,"$ 4,792 USD",Sedan 4 door,Virtual Sale date not set,White,4,FRONT-WHEEL DRIVE,1.8L 4,Gasoline,YES,IN - INDIANAPOLIS,152540 ACTUAL,,Front end,,Run & drive verified,Future Sale,Pure sale,Side,,IN CLEAN TITLE,1NXBU40E49Z077634  Get instaVIN history report,
Salvage-2012-GMC-ACADIA+SLT-for-Sale,"$ 9,915 USD",4dr sport,Virtual Sale date not set,White,6,ALL WHEEL DRIVE,3.6L 6,Gasoline,YES,IN - INDIANAPOLIS,148670 ACTUAL,,Front end,"$ 8,523 USD",Run & drive verified,Future Sale,Pure sale,,,IN SALVAGE TITLE,1GKKVRED5CJ111933  Get instaVIN history report,
Salvage-2009-Ford-ESCAPE-for-Sale,"$ 7,850 USD",4dr sport,Virtual Sale date not set,White,6,FOUR BY FOUR,3.0L 6,Gasoline,YES,NY - LONG ISLAND,0 NOT ACTUAL,,Rear end,"$ 7,664 USD",Unknown,Future Sale,On minimum bid,,,NY MV907A DISMANTLERS,1FMCU93G29KA87587  Get instaVIN history report,
Salvage-2007-Chevrolet-IMPALA+LT-for-Sale,,Sedan 4 door,Virtual Sale date not set,Silver,6,FRONT-WHEEL DRIVE,3.9L 6,Gasoline,YES,NC - CHINA GROVE,190571 ACTUAL,,Front end,,Vehicle Starts,Future Sale,Pure sale,,,NC PARTS ONLY,2G1WC58R079410114  Get instaVIN history report,
Salvage-2004-Ford-TAURUS+SES-for-Sale,"$ 3,236 USD",Sedan 4 door,Virtual Sale date not set,Gold,6,FRONT-WHEEL DRIVE,3.0L 6,Gasoline,YES,TX - LONGVIEW,140875 EXEMPT,,Front end,,Unknown,Future Sale,Pure sale,,,TX SALVAGE VEHICLE TITLE,1FAFP55S94A185474  Get instaVIN history report,
Salvage-2002-Volkswagen-PASSAT+GLS-for-Sale,$ 150 USD,Sedan 4 door,Virtual Sale date not set,Gray,4,FRONT-WHEEL DRIVE,1.8L 4,Gasoline,YES,MN - MINNEAPOLIS NORTH,169638 EXEMPT,,Normal wear,,Run & drive verified,Future Sale,On approval,,VEHICLE LOC @ U PULL R PART,MN CLEAN TITLE,WVWPD63B52P340533  Get instaVIN history report,
Salvage-2009-Ford-TAURUS+LIM-for-Sale,"$ 5,632 USD",Sedan 4 door,Virtual Sale date not set,Tan,6,FRONT-WHEEL DRIVE,3.5L 6,Gasoline,NO,MI - IONIA,0 NOT ACTUAL,,Front end,"$ 4,366 USD",Unknown,Future Sale,Pure sale,Minor dent/scratches,,MI CLEAN TITLE,1FAHP25W89G112871  Get instaVIN history report,
Salvage-2008-Infiniti-G35-for-Sale,,Sedan 4 door,Virtual Sale date not set,White,6,ALL WHEEL DRIVE,3.5L 6,Gasoline,YES,NJ - TRENTON,156495 ACTUAL,,Minor dent/scratches,,Run & drive verified,Future Sale,On approval,,,NJ CLEAN TITLE,JNKBV61F08M264645  Get instaVIN history report,
Salvage-2014-Dodge-CHARGER+R-for-Sale,"$ 11,184 USD",Sedan 4 door,Virtual Sale date not set,Maroon,8,REAR-WHEEL DRIVE,5.7L 8,Gasoline,YES,IN - INDIANAPOLIS,105228 ACTUAL,,Front end,"$ 9,152 USD",Unknown,Future Sale,Pure sale,,,IN SALVAGE TITLE,2C3CDXCT9EH219403  Get instaVIN history report,
